index,Agent1 Ego Dynamics s,Agent1 Ego Dynamics d,Agent1 Ego Dynamics mu,Agent1 Ego Dynamics speed,Agent1 Ego Dynamics steering,Agent1 Ego Dynamics kappa,Agent1 Ego Dynamics tire velocity (action),Agent1 Ego Dynamics Acceleration (action),Agent2 Ego Dynamics s,Agent2 Ego Dynamics d,Agent2 Ego Dynamics mu,Agent2 Ego Dynamics speed,Agent2 Ego Dynamics steering,Agent2 Ego Dynamics kappa,Agent2 Ego Dynamics tire velocity (action),Agent2 Ego Dynamics Acceleration (action)
0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
0,0.0,-0.0,0.0,6.0,0.0,0.0069632615594488,-0.0955295413732528,1.0,21.25286151310705,-1.0204867619680973,-2.062171404189334e-18,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
1,0.6049868211329505,-0.0028672906175573,-0.0049431556821011,6.1,-0.0095529541373252,0.0070405481912613,0.0485434308648109,1.0,21.25286152135882,-1.0204867619680973,-4.1243430047091496e-11,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
2,1.219919927884922,-0.0098229901216209,-0.0104457433842274,6.199999999999999,-0.0046986110508441,0.0073738442436207,0.0385360494256019,1.0,21.25286152961059,-1.0204867619680973,-8.248685803201159e-11,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
3,1.8447901091317045,-0.0188187462472897,-0.0154607518378502,6.3,-0.0008450061082839,0.007242183064932,0.0221815425902605,1.0,21.25286153786236,-1.0204867619680973,-1.2373028601693168e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
4,2.479582945101788,-0.0300007981204573,-0.0199063127860857,6.4,0.001373148150742,0.0067855149660499,0.0564641691744327,1.0,21.252861546114133,-1.0204867619680973,-1.6497371400185178e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
5,3.124299226362074,-0.0427327742714975,-0.0235865234302859,6.5,0.0070195650681853,0.0068393773119797,0.0024345291312783,1.0,21.252861554365904,-1.0204867619680973,-2.0621714198677189e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
6,3.77893311786368,-0.0568984007809005,-0.0267134037812192,6.6,0.0072630179813131,0.0062862703526284,0.02961877733469,1.0,21.252861562617674,-1.0204867619680973,-2.47460569971692e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
9,5.799260109683456,-0.0974905793213727,-0.0287840475925532,6.832743930816649,0.0372388778021559,0.0056763511008358,0.0724855810403823,0.2101039886474609,21.252861587372987,-1.0204867619680973,-3.7119085392645225e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
10,6.483176056977978,-0.1022150745171815,-0.025694955563367,6.853754329681395,0.0444874359061941,0.0056514091955614,0.0626003742218017,-0.402069091796875,21.25286159562476,-1.0204867619680973,-4.1243428191137227e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
11,7.16614169497743,-0.1020991546556982,-0.0214354334559642,6.813547420501708,0.0507474733283743,0.0056625502059252,0.0613593310117721,0.0210952758789062,21.25286160387653,-1.0204867619680973,-4.5367770989629235e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
12,7.8471980041303695,-0.0965729721848189,-0.0160644594358649,6.815656948089599,0.0568834064295515,0.005687157451094,0.1345369517803192,-0.9967565536499025,21.2528616121283,-1.0204867619680973,-4.949211378812124e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
13,8.523296021203311,-0.0837154383694824,-0.0092214794834959,6.715981292724608,0.0703371016075834,0.0057641896166692,0.0540275871753692,-0.0711297988891601,21.25286162038007,-1.0204867619680973,-5.361645658661327e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
14,9.193919658038872,-0.0625845335698639,-0.0007814980655794,6.708868312835692,0.0757398603251203,0.0058562472036313,0.2856956422328949,-0.622715950012207,21.25286162863184,-1.0204867619680973,-5.774079938510528e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
15,9.860668180184796,-0.0295682318617749,0.0102407223771352,6.6465967178344725,0.1043094245484098,0.0063603775314639,0.0970414280891418,-0.8481788635253906,21.25286163688361,-1.0204867619680973,-6.186514218359728e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
16,10.51935023043466,0.0177793143366877,0.023964632883651,6.561778831481933,0.114013567357324,0.0069679895720009,0.0986724197864532,-0.927119255065918,21.252861645135383,-1.0204867619680973,-6.59894849820893e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
19,12.43540412477417,0.2405066079005516,0.0764754866899349,6.321788024902344,0.1747116310289129,0.0068492112162154,0.2131959795951843,-0.5731678009033203,21.25286166989069,-1.0204867619680973,-7.836251337756533e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
20,13.055575185475218,0.3545195071625914,0.1014404936479331,6.264471244812012,0.1960312289884314,0.0068707454221766,0.2328572422266006,-0.2159191071987152,21.252861678142462,-1.0204867619680973,-8.248685617605736e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
21,13.667579978057974,0.4911951152290166,0.1299279047308026,6.24287933409214,0.2193169532110915,0.0065823858419138,0.6868084073066711,-0.4328405857086181,21.25286168639424,-1.0204867619680973,-8.661119897454936e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
22,14.268276476402,0.6606554010172956,0.1660015764657196,6.199595275521278,0.2879977939417585,0.0063224336681697,0.1962989121675491,-0.1124903410673141,21.252861694646008,-1.0204867619680973,-9.073554177304137e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
23,14.85515018003213,0.8669692279333299,0.2091459235512922,6.188346241414546,0.3076276851585134,0.006867862830569,-0.3266752064228058,-0.2506669759750366,21.25286170289778,-1.0204867619680973,-9.48598845715334e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
24,15.432928469687887,1.095592340442047,0.2507602888085741,6.163279543817043,0.2749601645162329,0.0072642580111355,-0.5697243213653564,0.1590868085622787,21.25286171114955,-1.0204867619680973,-9.89842273700254e-10,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
25,16.007745021845192,1.3324265273878686,0.2851965708011443,6.179188224673271,0.2179877323796972,0.006980762320714,-0.7796660661697388,0.2658383250236511,21.25286171940132,-1.0204867619680973,-1.0310857016851742e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
26,16.58659952958566,1.5669595248540578,0.3091376496422746,6.205772057175636,0.1400211257627233,0.0068240450584072,-0.8625600934028625,0.0600165352225303,21.25286172765309,-1.0204867619680973,-1.0723291296700943e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
29,18.3730586318639,2.190866440324473,0.3167165815427242,6.330728941410779,-0.0260436373064294,0.0065630609344141,-0.3753819763660431,1.0,21.252861752408403,-1.0204867619680973,-1.1960594136248547e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
30,18.99372017384931,2.372819814921122,0.3055676104472383,6.430728941410779,-0.0635818349430337,0.0063822015979491,-0.3693559467792511,1.0,21.25286176066017,-1.0204867619680973,-1.2373028416097746e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
31,19.630586884972864,2.537071612561416,0.2881806896263239,6.5307289414107785,-0.1005174296209588,0.0063155379764146,-0.4169923663139343,1.0,21.252861768911945,-1.0204867619680973,-1.278546269594695e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
32,20.28391215058908,2.677949740211825,0.2640928623639779,6.630728941410779,-0.1422166662523523,0.0059638734277654,-0.4447230696678161,1.0,21.25286177716372,-1.0204867619680973,-1.319789697579615e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
